file,genre,total,a,b,p_a_s,p_b_s
一番気乗のする時,随筆,39,10,0,0.2625,0.0125
闇中問答,小説,324,95,4,0.29384615384615387,0.013846153846153847
南瓜,小説,93,28,0,0.30319148936170215,0.005319148936170213
芸術その他,文学論,135,44,1,0.3272058823529412,0.011029411764705883
亦一説？,アンケート,17,5,0,0.3055555555555556,0.027777777777777776
江口渙氏の事,人物記,47,13,1,0.28125,0.03125
一夕話,小説,224,46,7,0.20666666666666667,0.03333333333333333
片恋,小説,182,44,7,0.24316939890710382,0.040983606557377046
好色,小説,382,65,18,0.17101827676240208,0.048302872062663184
着物,小説,49,7,2,0.15,0.05
翻訳小品,翻訳,45,6,2,0.14130434782608695,0.05434782608695652
三つの宝,戯曲,328,36,7,0.11094224924012158,0.022796352583586626
Ｏ君の新秋,小説,62,7,1,0.11904761904761904,0.023809523809523808
一人の無名作家,アンケート,14,1,0,0.1,0.03333333333333333
妖婆,小説,728,66,21,0.09122085048010974,0.029492455418381344
あの頃の自分の事,小説,420,42,22,0.10095011876484561,0.05344418052256532
開化の良人,小説,251,23,13,0.09325396825396826,0.05357142857142857
彼,小説,192,14,7,0.07512953367875648,0.038860103626943004
雑信一束,紀行文,56,4,2,0.07894736842105263,0.043859649122807015
犬と笛,小説,234,8,0,0.036170212765957444,0.002127659574468085
たね子の憂鬱,小説,151,7,0,0.049342105263157895,0.003289473684210526
往生絵巻,戯曲,174,9,0,0.054285714285714284,0.002857142857142857
一塊の土,小説,345,24,1,0.0708092485549133,0.004335260115606936
猿,小説,153,9,0,0.06168831168831169,0.003246753246753247
LOS CAPRICHOS,散文詩,230,18,5,0.08008658008658008,0.023809523809523808
才一巧亦不二,随筆,18,1,0,0.07894736842105263,0.02631578947368421
奇怪な再会,小説,731,57,12,0.07855191256830601,0.01707650273224044
アグニの神,小説,278,21,5,0.07706093189964158,0.01971326164874552
アグニの神_1,小説,278,21,5,0.07706093189964158,0.01971326164874552
将軍,小説,602,35,6,0.05887230514096186,0.01077943615257048
魔術,小説,182,10,2,0.05737704918032787,0.01366120218579235
軽井沢で,散文詩,27,1,0,0.05357142857142857,0.017857142857142856
お富の貞操,小説,323,19,6,0.06018518518518518,0.020061728395061727
新緑の庭,断章,22,1,0,0.06521739130434782,0.021739130434782608
寒さ,小説,148,14,1,0.09731543624161074,0.010067114093959731
彼　第二,小説,222,24,2,0.10986547085201794,0.011210762331838564
春の日のさした往来をぶらぶら一人歩いてゐる,随筆,41,4,0,0.10714285714285714,0.011904761904761904
雪,小説,25,2,0,0.09615384615384616,0.019230769230769232
山鴫,小説,245,22,3,0.09146341463414634,0.014227642276422764
正岡子規,人物記,39,3,0,0.0875,0.0125
お律と子等と,小説,1011,69,7,0.06867588932806325,0.007411067193675889
百合,小説,203,13,1,0.0661764705882353,0.007352941176470588
死後,小説,127,9,1,0.07421875,0.01171875
蜃気楼,小説,213,16,2,0.07710280373831775,0.011682242990654205
海のほとり,小説,241,18,2,0.07644628099173553,0.010330578512396695
病牀雑記,随筆,47,3,0,0.07291666666666667,0.010416666666666666
長崎小品,戯曲,120,10,0,0.08677685950413223,0.004132231404958678
杜子春,小説,267,22,1,0.08395522388059702,0.005597014925373134
杜子春_1,小説,267,23,1,0.08768656716417911,0.005597014925373134
悠々荘,小説,74,7,0,0.1,0.006666666666666667
路上,小説,1357,141,5,0.10419734904270987,0.004050073637702504
妙な話,小説,133,26,0,0.19776119402985073,0.0037313432835820895
講演軍記,紀行文,22,3,0,0.15217391304347827,0.021739130434782608
鼠小僧次郎吉,小説,309,43,3,0.1403225806451613,0.01129032258064516
世之助の話,小説,216,26,3,0.12211981566820276,0.016129032258064516
青年と死,戯曲,220,27,2,0.1244343891402715,0.011312217194570135
動物園,小説,124,17,0,0.14,0.004
創作,小説,75,9,0,0.125,0.006578947368421052
湖南の扇,小説,312,38,2,0.12300319488817892,0.007987220447284345
ポーの片影,随筆,64,1,1,0.023076923076923078,0.023076923076923078
イズムと云ふ語の意味次第,評論,21,0,0,0.022727272727272728,0.022727272727272728
横須賀小景,散文詩,21,0,0,0.022727272727272728,0.022727272727272728
佐藤春夫氏の事,人物記,17,0,0,0.027777777777777776,0.027777777777777776
娼婦美と冒険,随筆,18,0,0,0.02631578947368421,0.02631578947368421
鬼ごつこ,小説,19,0,0,0.025,0.025
