file,genre,total,a,b,p_a_s,p_b_s
教訓談,小説,33,0,22,0.014705882352941176,0.6617647058823529
竜,小説,132,4,91,0.03383458646616541,0.6879699248120301
ポーの片影,随筆,64,2,47,0.038461538461538464,0.7307692307692307
夏目先生と滝田さん,追悼文,12,0,9,0.038461538461538464,0.7307692307692307
二つの手紙,小説,298,8,192,0.028428093645484948,0.6438127090301003
或恋愛小説,小説,195,7,119,0.03826530612244898,0.6096938775510204
地獄変,小説,522,24,320,0.04684512428298279,0.612810707456979
地獄變,小説,527,24,324,0.04640151515151515,0.6145833333333334
久米正雄氏の事,人物記,19,1,11,0.075,0.575
疑惑,小説,267,25,141,0.09514925373134328,0.5279850746268657
囈語,断章,9,0,5,0.05,0.55
女仙,小説,33,1,17,0.04411764705882353,0.5147058823529411
邪宗門,小説,766,38,348,0.050195567144719684,0.45436766623207303
雛,小説,387,21,184,0.055412371134020616,0.47551546391752575
秋山図,小説,230,7,106,0.032467532467532464,0.461038961038961
蜘蛛の糸,小説,62,2,29,0.03968253968253968,0.46825396825396826
文学好きの家庭から,アンケート,23,0,7,0.020833333333333332,0.3125
近頃の幽霊,随筆,61,1,17,0.024193548387096774,0.28225806451612906
二人小町,戯曲,316,5,118,0.017350157728706624,0.37381703470031546
露譯短篇集の序,序文,24,0,9,0.02,0.38
報恩記,小説,464,6,184,0.013978494623655914,0.3967741935483871
手紙,小説,194,3,77,0.017948717948717947,0.3974358974358974
温泉だより,小説,221,7,82,0.033783783783783786,0.3716216216216216
はつきりした形をとる為めに,随筆,39,1,16,0.0375,0.4125
藪の中,小説,276,9,113,0.03429602888086643,0.40974729241877256
藪の中_1,小説,275,9,112,0.034420289855072464,0.4076086956521739
無題,断章,10,0,3,0.045454545454545456,0.3181818181818182
河童,小説,1298,76,413,0.05889145496535797,0.3183217859892225
河童_1,小説,1299,76,412,0.05884615384615385,0.3173076923076923
魔術,小説,182,14,56,0.07923497267759563,0.3087431693989071
正岡子規,人物記,39,3,10,0.0875,0.2625
黄粱夢,小説,38,2,10,0.0641025641025641,0.2692307692307692
妖婆,小説,728,101,231,0.1392318244170096,0.3175582990397805
捨児,小説,120,16,57,0.13636363636363635,0.47520661157024796
不思議な島,小説,247,25,106,0.1028225806451613,0.42943548387096775
英雄の器,小説,69,8,29,0.12142857142857143,0.42142857142857143
運,小説,205,23,83,0.11407766990291263,0.4053398058252427
剛才人と柔才人と,アンケート,15,1,5,0.09375,0.34375
長崎小品,戯曲,120,11,41,0.09504132231404959,0.34297520661157027
MENSURA ZOILI,小説,151,13,56,0.08881578947368421,0.3717105263157895
黒衣聖母,小説,112,11,43,0.10176991150442478,0.38495575221238937
装幀に就いての私の意見,アンケート,5,0,2,0.08333333333333333,0.4166666666666667
三右衛門の罪,小説,251,16,95,0.06547619047619048,0.37896825396825395
猿,小説,153,10,63,0.06818181818181818,0.41233766233766234
誘惑,シナリオ,385,5,0,0.014248704663212436,0.0012953367875647669
骨董羹,随筆,372,5,0,0.014745308310991957,0.0013404825737265416
糸女覚え書,小説,135,0,0,0.003676470588235294,0.003676470588235294
文部省の仮名遣改定案について,評論,137,1,0,0.010869565217391304,0.0036231884057971015
きりしとほろ上人伝,小説,338,2,1,0.007374631268436578,0.004424778761061947
虎の話,小説,70,0,0,0.007042253521126761,0.007042253521126761
田端人,随筆,61,1,0,0.024193548387096774,0.008064516129032258
八宝飯,随筆,119,2,0,0.020833333333333332,0.004166666666666667
浅草公園,シナリオ,340,9,1,0.02785923753665689,0.004398826979472141
尾形了斎覚え書,小説,46,0,0,0.010638297872340425,0.010638297872340425
芥川龍之介歌集,短歌,27,0,0,0.017857142857142856,0.017857142857142856
長崎,詩,26,0,0,0.018518518518518517,0.018518518518518517
わが俳諧修業,回想,38,0,0,0.01282051282051282,0.01282051282051282
「鏡花全集」目録開口,広告文,31,0,0,0.015625,0.015625
その頃の赤門生活,回想,33,0,0,0.014705882352941176,0.014705882352941176
伊東から,随筆,33,0,0,0.014705882352941176,0.014705882352941176
臘梅,詩歌,11,0,0,0.041666666666666664,0.041666666666666664
北京日記抄,紀行文,270,5,10,0.02029520295202952,0.03874538745387454
鸚鵡,小説,69,2,1,0.03571428571428571,0.02142857142857143
森先生,人物記,14,0,0,0.03333333333333333,0.03333333333333333
佐藤春夫氏の事,人物記,17,0,0,0.027777777777777776,0.027777777777777776
娼婦美と冒険,随筆,18,0,0,0.02631578947368421,0.02631578947368421
病牀雑記,随筆,47,3,1,0.07291666666666667,0.03125
内田百間氏,人物記,22,1,0,0.06521739130434782,0.021739130434782608
出来上った人,人物記,20,1,0,0.07142857142857142,0.023809523809523808
恒藤恭氏,人物記,75,6,0,0.08552631578947369,0.006578947368421052
出帆,小説,88,6,0,0.07303370786516854,0.0056179775280898875
案頭の書,随筆,88,6,0,0.07303370786516854,0.0056179775280898875
