file,genre,total,a,b,p_a_s,p_b_s
夏目先生と滝田さん,追悼文,12,6,3,0.5,0.2692307692307692
舞踏会,小説,128,36,34,0.28294573643410853,0.26744186046511625
近藤浩一路氏,人物記,25,9,6,0.36538461538461536,0.25
糸女覚え書,小説,135,0,0,0.003676470588235294,0.003676470588235294
文部省の仮名遣改定案について,評論,137,1,0,0.010869565217391304,0.0036231884057971015
きりしとほろ上人伝,小説,338,3,0,0.01032448377581121,0.0014749262536873156
誘惑,シナリオ,385,5,0,0.014248704663212436,0.0012953367875647669
骨董羹,随筆,372,5,0,0.014745308310991957,0.0013404825737265416
田端人,随筆,61,1,0,0.024193548387096774,0.008064516129032258
八宝飯,随筆,119,2,0,0.020833333333333332,0.004166666666666667
浅草公園,シナリオ,340,9,1,0.02785923753665689,0.004398826979472141
芥川龍之介歌集,短歌,27,0,0,0.017857142857142856,0.017857142857142856
長崎,詩,26,0,0,0.018518518518518517,0.018518518518518517
わが俳諧修業,回想,38,0,0,0.01282051282051282,0.01282051282051282
「鏡花全集」目録開口,広告文,31,0,0,0.015625,0.015625
その頃の赤門生活,回想,33,0,0,0.014705882352941176,0.014705882352941176
伊東から,随筆,33,0,0,0.014705882352941176,0.014705882352941176
尾形了斎覚え書,小説,46,0,0,0.010638297872340425,0.010638297872340425
虎の話,小説,70,0,0,0.007042253521126761,0.007042253521126761
森先生,人物記,14,0,0,0.03333333333333333,0.03333333333333333
佐藤春夫氏の事,人物記,17,0,0,0.027777777777777776,0.027777777777777776
娼婦美と冒険,随筆,18,0,0,0.02631578947368421,0.02631578947368421
尾生の信,小説,43,2,1,0.056818181818181816,0.03409090909090909
臘梅,詩歌,11,0,0,0.041666666666666664,0.041666666666666664
軽井沢で,散文詩,27,1,0,0.05357142857142857,0.017857142857142856
彼の長所十八,人物記,31,1,0,0.046875,0.015625
微笑,随筆,35,1,0,0.041666666666666664,0.013888888888888888
久保田万太郎氏,人物記,48,2,0,0.05102040816326531,0.01020408163265306
梅花に対する感情,随筆,71,3,0,0.04861111111111111,0.006944444444444444
小説作法十則,文学論,68,3,0,0.050724637681159424,0.007246376811594203
鸚鵡,小説,69,3,0,0.05,0.007142857142857143
るしへる,小説,140,5,1,0.03900709219858156,0.010638297872340425
開化の殺人,小説,192,6,1,0.03367875647668394,0.007772020725388601
内田百間氏,人物記,22,1,0,0.06521739130434782,0.021739130434782608
出来上った人,人物記,20,1,0,0.07142857142857142,0.023809523809523808
鬼ごつこ,小説,19,1,0,0.075,0.025
念仁波念遠入礼帖,随筆,40,2,0,0.06097560975609756,0.012195121951219513
東洋の秋,小説,34,2,0,0.07142857142857142,0.014285714285714285
田端日記,日録,128,13,0,0.10465116279069768,0.003875968992248062
遺書,遺書,91,10,0,0.11413043478260869,0.005434782608695652
恒藤恭氏,人物記,75,6,0,0.08552631578947369,0.006578947368421052
病中雑記,随筆,71,5,0,0.0763888888888889,0.006944444444444444
出帆,小説,88,6,0,0.07303370786516854,0.0056179775280898875
案頭の書,随筆,88,6,0,0.07303370786516854,0.0056179775280898875
北京日記抄,紀行文,270,15,0,0.05719557195571956,0.0018450184501845018
学校友だち,回想,107,6,0,0.06018518518518518,0.004629629629629629
ピアノ,小説,50,0,9,0.00980392156862745,0.18627450980392157
或社会主義者,小説,50,0,14,0.00980392156862745,0.28431372549019607
トロッコ_1,小説,151,5,13,0.03618421052631579,0.08881578947368421
トロツコ,小説,151,5,12,0.03618421052631579,0.08223684210526316
岩野泡鳴氏,人物記,25,0,2,0.019230769230769232,0.09615384615384616
横須賀小景,散文詩,21,0,2,0.022727272727272728,0.11363636363636363
大導寺信輔の半生,小説,463,14,107,0.03125,0.23168103448275862
大導寺信輔の半生_1,小説,463,14,107,0.03125,0.23168103448275862
庭,小説,191,7,26,0.0390625,0.13802083333333334
或阿呆の一生,小説,490,20,69,0.04175152749490835,0.1415478615071283
夢,随筆,216,8,38,0.03917050691244239,0.1774193548387097
詩集,小説,38,1,7,0.038461538461538464,0.19230769230769232
三つのなぜ,小説,107,6,18,0.06018518518518518,0.1712962962962963
玄鶴山房,小説,441,22,77,0.05090497737556561,0.1753393665158371
私の好きなロマンス中の女性,アンケート,3,0,0,0.125,0.125
貝殼,随筆,163,21,21,0.13109756097560976,0.13109756097560976
三つの窓,小説,243,26,29,0.10860655737704918,0.12090163934426229
耳目記,断章,21,2,2,0.11363636363636363,0.11363636363636363
追憶,回想,401,59,58,0.1480099502487562,0.1455223880597015
秋,小説,369,41,57,0.11216216216216217,0.1554054054054054
古千屋,小説,98,12,14,0.12626262626262627,0.14646464646464646
老いたる素戔嗚尊,小説,371,48,59,0.1303763440860215,0.15994623655913978
雪,小説,25,2,2,0.09615384615384616,0.09615384615384616
窓,小説,38,2,5,0.0641025641025641,0.14102564102564102
六の宮の姫君,小説,208,17,28,0.08373205741626795,0.13636363636363635
春,小説,339,28,47,0.0838235294117647,0.13970588235294118
魚河岸,小説,74,5,8,0.07333333333333333,0.11333333333333333
歯車,小説,955,68,127,0.07165271966527197,0.13336820083682008
年末の一日,小説,108,8,13,0.0779816513761468,0.12385321100917432
一塊の土,小説,345,25,42,0.07369942196531792,0.12283236994219653
歯車_1,小説,940,70,117,0.07492029755579172,0.12486716259298619
たね子の憂鬱,小説,151,12,10,0.08223684210526316,0.06907894736842106
葬儀記,記録文,140,12,8,0.08865248226950355,0.06028368794326241
死後,小説,127,11,8,0.08984375,0.06640625
漱石山房の秋,小説,37,3,2,0.09210526315789473,0.06578947368421052
沙羅の花,詩歌,8,0,0,0.05555555555555555,0.05555555555555555
春の夜は,断章,51,3,2,0.0673076923076923,0.04807692307692308
百合,小説,203,14,11,0.07107843137254902,0.056372549019607844
あの頃の自分の事,小説,420,67,37,0.16033254156769597,0.08907363420427554
都会で,随筆,40,7,3,0.18292682926829268,0.08536585365853659
冬,小説,188,26,19,0.1402116402116402,0.10317460317460317
山鴫,小説,245,37,24,0.1524390243902439,0.09959349593495935
影,小説,374,52,35,0.14,0.09466666666666666
海のほとり,小説,241,35,22,0.14669421487603307,0.09297520661157024
飯田蛇笏,人物記,64,9,5,0.14615384615384616,0.08461538461538462
世之助の話,小説,216,29,18,0.1359447004608295,0.08525345622119816
保吉の手帳から,小説,345,47,30,0.13728323699421965,0.08815028901734104
彼,小説,192,25,18,0.13212435233160622,0.09585492227979274
子供の病気,小説,253,32,22,0.1279527559055118,0.08858267716535433
彼　第二,小説,222,27,20,0.12331838565022421,0.09192825112107623
お富の貞操,小説,323,39,25,0.12191358024691358,0.0787037037037037
仏蘭西文学と僕,随筆,71,8,5,0.11805555555555555,0.0763888888888889
伝吉の敵打ち,小説,189,25,12,0.13421052631578947,0.06578947368421052
京都日記,紀行文,106,14,6,0.13551401869158877,0.06074766355140187
沼,小説,39,5,2,0.1375,0.0625
将軍,小説,602,82,45,0.13681592039800994,0.07545605306799337
湖南の扇,小説,312,40,22,0.12939297124600638,0.07188498402555911
点鬼簿,小説,163,21,11,0.13109756097560976,0.0701219512195122
お律と子等と,小説,1011,168,45,0.166501976284585,0.04496047430830039
貉,小説,70,11,3,0.1619718309859155,0.04929577464788732
路上,小説,1357,229,68,0.16899852724594994,0.05044182621502209
celt_no_hakumei,翻訳,148,25,9,0.17114093959731544,0.06375838926174497
蜃気楼,小説,213,31,13,0.14719626168224298,0.0630841121495327
豊島与志雄氏の事,人物記,40,6,2,0.15853658536585366,0.06097560975609756
水の三日,初期文章,131,14,7,0.10984848484848485,0.056818181818181816
樗牛の事,評論,90,12,4,0.13736263736263737,0.04945054945054945
袈裟と盛遠,小説,221,27,10,0.12387387387387387,0.0472972972972973
偽者二題,随筆,27,3,6,0.125,0.23214285714285715
女,小説,53,7,12,0.1388888888888889,0.23148148148148148
或敵打の話,小説,274,37,67,0.13636363636363635,0.24545454545454545
才一巧亦不二,随筆,18,3,4,0.18421052631578946,0.23684210526315788
槍ヶ嶽紀行,紀行文,123,21,31,0.17338709677419356,0.2540322580645161
滝田哲太郎君,追悼文,41,10,5,0.25,0.13095238095238096
滝田哲太郎氏,追悼文,38,6,4,0.16666666666666666,0.11538461538461539
Ｏ君の新秋,小説,62,11,7,0.18253968253968253,0.11904761904761904
身のまはり,随筆,44,9,6,0.2111111111111111,0.14444444444444443
南京の基督,小説,235,44,37,0.1885593220338983,0.15889830508474576
素戔嗚尊,小説,1297,247,225,0.1906779661016949,0.17372881355932204
素描三題,随筆,91,15,14,0.16847826086956522,0.15760869565217392
寒さ,小説,148,28,21,0.1912751677852349,0.14429530201342283
蜜柑,小説,60,10,8,0.1721311475409836,0.13934426229508196
蜜柑_1,小説,59,10,8,0.175,0.14166666666666666
蜜柑_2,小説,59,10,8,0.175,0.14166666666666666
はつきりした形をとる為めに,随筆,39,17,0,0.4375,0.0125
長崎小品,戯曲,120,51,1,0.4256198347107438,0.012396694214876033
侏儒の言葉_1,断章,1050,418,11,0.3981921979067555,0.010941960038058992
手紙,小説,194,78,2,0.4025641025641026,0.01282051282051282
讀書の態度,随筆,32,12,0,0.3787878787878788,0.015151515151515152
後世,随筆,32,11,0,0.3484848484848485,0.015151515151515152
河童,小説,1298,469,20,0.36143187066974597,0.01578137028483449
河童_1,小説,1299,468,20,0.36038461538461536,0.015769230769230768
おしの,小説,150,54,3,0.3609271523178808,0.023178807947019868
或旧友へ送る手記,遺書,115,41,2,0.3577586206896552,0.021551724137931036
温泉だより,小説,221,84,5,0.38063063063063063,0.024774774774774775
野人生計事,随筆,142,54,3,0.3811188811188811,0.024475524475524476
報恩記,小説,464,181,9,0.3903225806451613,0.02043010752688172
侏儒の言葉,断章,1241,468,27,0.37721417069243157,0.02214170692431562
露譯短篇集の序,序文,24,9,0,0.38,0.02
日本の女,随筆,191,63,4,0.3307291666666667,0.0234375
第四の夫から,小説,87,28,2,0.32386363636363635,0.028409090909090908
アグニの神,小説,278,91,4,0.3279569892473118,0.016129032258064516
アグニの神_1,小説,278,90,4,0.32437275985663083,0.016129032258064516
奇遇,小説,219,71,3,0.325,0.015909090909090907
文学好きの家庭から,アンケート,23,7,0,0.3125,0.020833333333333332
文放古,小説,133,42,2,0.31716417910447764,0.018656716417910446
亦一説？,アンケート,17,5,0,0.3055555555555556,0.027777777777777776
西郷隆盛,小説,319,94,9,0.2953125,0.0296875
桃太郎,小説,142,43,3,0.3041958041958042,0.024475524475524476
杜子春,小説,267,79,6,0.2966417910447761,0.024253731343283583
杜子春_1,小説,267,79,6,0.2966417910447761,0.024253731343283583
十円札,小説,281,81,6,0.28900709219858156,0.02304964539007092
文芸的な、余りに文芸的な,文学論,1892,531,42,0.2807712625462229,0.022451135763338615
小杉未醒氏,人物記,23,6,0,0.2708333333333333,0.020833333333333332
佐藤春夫氏,人物記,33,9,0,0.27941176470588236,0.014705882352941176
鑑定,随筆,30,8,0,0.27419354838709675,0.016129032258064516
南瓜,小説,93,28,1,0.30319148936170215,0.015957446808510637
東京に生れて,アンケート,28,8,0,0.29310344827586204,0.017241379310344827
西洋画のやうな日本画,評論,32,9,0,0.2878787878787879,0.015151515151515152
悪魔,小説,45,13,0,0.29347826086956524,0.010869565217391304
三つの宝,戯曲,328,101,3,0.30851063829787234,0.010638297872340425
江口渙氏の事,人物記,47,14,0,0.3020833333333333,0.010416666666666666
澄江堂雑記,随筆,559,170,5,0.3044642857142857,0.009821428571428571
十本の針,断章,80,24,0,0.30246913580246915,0.006172839506172839
蛙,小説,61,18,0,0.29838709677419356,0.008064516129032258
饒舌,小説,60,18,0,0.30327868852459017,0.00819672131147541
解嘲,評論,136,48,1,0.354014598540146,0.010948905109489052
鷺と鴛鴦,随筆,41,13,0,0.32142857142857145,0.011904761904761904
東西問答,随筆,51,17,0,0.33653846153846156,0.009615384615384616
正岡子規,人物記,39,13,0,0.3375,0.0125
僻見,評論,600,202,3,0.3369384359400998,0.005823627287853577
芸術その他,文学論,135,45,0,0.33455882352941174,0.003676470588235294
二人小町,戯曲,316,121,2,0.3832807570977918,0.007886435331230283
尼提,小説,70,25,0,0.3591549295774648,0.007042253521126761
機関車を見ながら,随筆,73,27,0,0.3716216216216216,0.006756756756756757
格さんと食慾,人物記,19,10,0,0.525,0.025
雛,小説,387,197,8,0.509020618556701,0.02190721649484536
女仙,小説,33,18,0,0.5441176470588235,0.014705882352941176
文芸鑑賞講座,文学論,299,170,5,0.5683333333333334,0.018333333333333333
MENSURA ZOILI,小説,151,69,0,0.45723684210526316,0.003289473684210526
不思議な島,小説,247,129,2,0.5221774193548387,0.010080645161290322
恋愛と夫婦愛とを混同しては不可ぬ,随筆,43,22,0,0.5113636363636364,0.011363636363636364
プロレタリア文学論,評論,51,25,0,0.49038461538461536,0.009615384615384616
小説の戯曲化,評論,61,30,0,0.49193548387096775,0.008064516129032258
蜘蛛の糸,小説,62,31,0,0.5,0.007936507936507936
英雄の器,小説,69,35,2,0.5071428571428571,0.03571428571428571
運,小説,205,99,7,0.4830097087378641,0.03640776699029126
片恋,小説,182,84,5,0.46174863387978143,0.030054644808743168
秋山図,小説,230,107,6,0.4653679653679654,0.02813852813852814
又一説？,アンケート,21,9,0,0.4318181818181818,0.022727272727272728
カルメン,小説,66,29,1,0.44029850746268656,0.022388059701492536
龍村平蔵氏の芸術,評論,23,10,0,0.4375,0.020833333333333332
発句私見,評論,43,16,1,0.375,0.03409090909090909
妖婆,小説,728,302,30,0.4149519890260631,0.04183813443072702
藪の中,小説,276,113,9,0.40974729241877256,0.03429602888086643
藪の中_1,小説,275,112,9,0.4076086956521739,0.034420289855072464
「菊池寛全集」の序,序文,57,26,2,0.45689655172413796,0.04310344827586207
或日の大石内蔵助,小説,214,101,10,0.4720930232558139,0.04883720930232558
邪宗門,小説,766,342,44,0.44654498044328556,0.058018252933507174
黒衣聖母,小説,112,49,5,0.43805309734513276,0.048672566371681415
三右衛門の罪,小説,251,98,13,0.39087301587301587,0.05357142857142857
猿,小説,153,64,9,0.41883116883116883,0.06168831168831169
手巾,小説,197,59,10,0.3005050505050505,0.05303030303030303
