file,genre,total,a,b,p_a_s,p_b_s,dendro_color
一番気乗のする時,随筆,39,10,0,0.2625,0.0125,オレンジ
闇中問答,小説,324,95,4,0.2938461538461540,0.0138461538461538,オレンジ
南瓜,小説,93,28,0,0.3031914893617020,0.0053191489361702,オレンジ
芸術その他,文学論,135,44,1,0.3272058823529410,0.0110294117647058,オレンジ
亦一説？,アンケート,17,5,0,0.3055555555555560,0.0277777777777777,オレンジ
江口渙氏の事,人物記,47,13,1,0.28125,0.03125,オレンジ
一夕話,小説,224,46,7,0.2066666666666670,0.0333333333333333,オレンジ
片恋,小説,182,44,7,0.2431693989071040,0.040983606557377,オレンジ
好色,小説,382,65,18,0.171018276762402,0.0483028720626631,緑
着物,小説,49,7,2,0.15,0.05,緑
翻訳小品,翻訳,45,6,2,0.1413043478260870,0.0543478260869565,緑
三つの宝,戯曲,328,36,7,0.1109422492401220,0.0227963525835866,緑
Ｏ君の新秋,小説,62,7,1,0.119047619047619,0.0238095238095238,緑
一人の無名作家,アンケート,14,1,0,0.1,0.0333333333333333,緑
妖婆,小説,728,66,21,0.0912208504801097,0.0294924554183813,緑
あの頃の自分の事,小説,420,42,22,0.1009501187648460,0.0534441805225653,緑
開化の良人,小説,251,23,13,0.0932539682539682,0.0535714285714285,緑
彼,小説,192,14,7,0.0751295336787564,0.038860103626943,緑
雑信一束,紀行文,56,4,2,0.0789473684210526,0.043859649122807,緑
犬と笛,小説,234,8,0,0.0361702127659574,0.002127659574468,緑
たね子の憂鬱,小説,151,7,0,0.0493421052631578,0.0032894736842105,緑
往生絵巻,戯曲,174,9,0,0.0542857142857142,0.0028571428571428,緑
一塊の土,小説,345,24,1,0.0708092485549133,0.0043352601156069,緑
猿,小説,153,9,0,0.0616883116883116,0.0032467532467532,緑
LOS CAPRICHOS,散文詩,230,18,5,0.08008658008658,0.0238095238095238,緑
才一巧亦不二,随筆,18,1,0,0.0789473684210526,0.0263157894736842,緑
奇怪な再会,小説,731,57,12,0.078551912568306,0.0170765027322404,緑
アグニの神,小説,278,21,5,0.0770609318996415,0.0197132616487455,緑
アグニの神_1,小説,278,21,5,0.0770609318996415,0.0197132616487455,緑
将軍,小説,602,35,6,0.0588723051409618,0.0107794361525704,緑
魔術,小説,182,10,2,0.0573770491803278,0.0136612021857923,緑
軽井沢で,散文詩,27,1,0,0.0535714285714285,0.0178571428571428,緑
お富の貞操,小説,323,19,6,0.0601851851851851,0.0200617283950617,緑
新緑の庭,断章,22,1,0,0.0652173913043478,0.0217391304347826,緑
寒さ,小説,148,14,1,0.0973154362416107,0.0100671140939597,緑
彼　第二,小説,222,24,2,0.1098654708520180,0.0112107623318385,緑
春の日のさした往来をぶらぶら一人歩いてゐる,随筆,41,4,0,0.1071428571428570,0.0119047619047619,緑
雪,小説,25,2,0,0.0961538461538461,0.0192307692307692,緑
山鴫,小説,245,22,3,0.0914634146341463,0.0142276422764227,緑
正岡子規,人物記,39,3,0,0.0875,0.0125,緑
お律と子等と,小説,1011,69,7,0.0686758893280632,0.0074110671936758,緑
百合,小説,203,13,1,0.0661764705882353,0.0073529411764705,緑
死後,小説,127,9,1,0.07421875,0.01171875,緑
蜃気楼,小説,213,16,2,0.0771028037383177,0.0116822429906542,緑
海のほとり,小説,241,18,2,0.0764462809917355,0.0103305785123966,緑
病牀雑記,随筆,47,3,0,0.0729166666666666,0.0104166666666666,緑
長崎小品,戯曲,120,10,0,0.0867768595041322,0.0041322314049586,緑
杜子春,小説,267,22,1,0.083955223880597,0.0055970149253731,緑
杜子春_1,小説,267,23,1,0.0876865671641791,0.0055970149253731,緑
悠々荘,小説,74,7,0,0.1,0.0066666666666666,緑
路上,小説,1357,141,5,0.1041973490427100,0.0040500736377025,緑
