file,genre,total,a,b,p_a_s,p_b_s,dendro_color
教訓談,小説,33,0,22,0.0147058823529411,0.6617647058823530,オレンジ
竜,小説,132,4,91,0.0338345864661654,0.6879699248120300,オレンジ
ポーの片影,随筆,64,2,47,0.0384615384615384,0.7307692307692310,オレンジ
夏目先生と滝田さん,追悼文,12,0,9,0.0384615384615384,0.7307692307692310,オレンジ
二つの手紙,小説,298,8,192,0.0284280936454849,0.6438127090301000,オレンジ
或恋愛小説,小説,195,7,119,0.0382653061224489,0.6096938775510200,オレンジ
地獄変,小説,522,24,320,0.0468451242829827,0.612810707456979,オレンジ
地獄變,小説,527,24,324,0.0464015151515151,0.6145833333333330,オレンジ
久米正雄氏の事,人物記,19,1,11,0.075,0.575,オレンジ
疑惑,小説,267,25,141,0.0951492537313432,0.5279850746268660,オレンジ
囈語,断章,9,0,5,0.05,0.55,オレンジ
女仙,小説,33,1,17,0.0441176470588235,0.5147058823529410,オレンジ
邪宗門,小説,766,38,348,0.0501955671447196,0.454367666232073,オレンジ
雛,小説,387,21,184,0.0554123711340206,0.4755154639175260,オレンジ
秋山図,小説,230,7,106,0.0324675324675324,0.461038961038961,オレンジ
蜘蛛の糸,小説,62,2,29,0.0396825396825396,0.4682539682539680,オレンジ
文学好きの家庭から,アンケート,23,0,7,0.0208333333333333,0.3125,オレンジ
近頃の幽霊,随筆,61,1,17,0.0241935483870967,0.282258064516129,オレンジ
二人小町,戯曲,316,5,118,0.0173501577287066,0.3738170347003150,オレンジ
露譯短篇集の序,序文,24,0,9,0.02,0.38,オレンジ
報恩記,小説,464,6,184,0.0139784946236559,0.3967741935483870,オレンジ
手紙,小説,194,3,77,0.0179487179487179,0.3974358974358970,オレンジ
温泉だより,小説,221,7,82,0.0337837837837837,0.3716216216216220,オレンジ
はつきりした形をとる為めに,随筆,39,1,16,0.0375,0.4125,オレンジ
藪の中,小説,276,9,113,0.0342960288808664,0.4097472924187730,オレンジ
藪の中_1,小説,275,9,112,0.0344202898550724,0.4076086956521740,オレンジ
無題,断章,10,0,3,0.0454545454545454,0.3181818181818180,オレンジ
河童,小説,1298,76,413,0.0588914549653579,0.3183217859892230,オレンジ
河童_1,小説,1299,76,412,0.0588461538461538,0.3173076923076920,オレンジ
魔術,小説,182,14,56,0.0792349726775956,0.3087431693989070,オレンジ
正岡子規,人物記,39,3,10,0.0875,0.2625,オレンジ
