file,genre,total,a,b,p_a_s,p_b_s,dendro_color
夏目先生と滝田さん,追悼文,12,6,3,0.5,0.2692307692307690,オレンジ
舞踏会,小説,128,36,34,0.2829457364341090,0.2674418604651160,オレンジ
近藤浩一路氏,人物記,25,9,6,0.3653846153846150,0.25,オレンジ
糸女覚え書,小説,135,0,0,0.0036764705882352,0.0036764705882352,緑
文部省の仮名遣改定案について,評論,137,1,0,0.0108695652173913,0.0036231884057971,緑
きりしとほろ上人伝,小説,338,3,0,0.0103244837758112,0.0014749262536873,緑
誘惑,シナリオ,385,5,0,0.0142487046632124,0.0012953367875647,緑
骨董羹,随筆,372,5,0,0.0147453083109919,0.0013404825737265,緑
田端人,随筆,61,1,0,0.0241935483870967,0.0080645161290322,緑
八宝飯,随筆,119,2,0,0.0208333333333333,0.0041666666666666,緑
浅草公園,シナリオ,340,9,1,0.0278592375366568,0.0043988269794721,緑
芥川龍之介歌集,短歌,27,0,0,0.0178571428571428,0.0178571428571428,緑
長崎,詩,26,0,0,0.0185185185185185,0.0185185185185185,緑
わが俳諧修業,回想,38,0,0,0.0128205128205128,0.0128205128205128,緑
「鏡花全集」目録開口,広告文,31,0,0,0.015625,0.015625,緑
その頃の赤門生活,回想,33,0,0,0.0147058823529411,0.0147058823529411,緑
伊東から,随筆,33,0,0,0.0147058823529411,0.0147058823529411,緑
尾形了斎覚え書,小説,46,0,0,0.0106382978723404,0.0106382978723404,緑
虎の話,小説,70,0,0,0.0070422535211267,0.0070422535211267,緑
森先生,人物記,14,0,0,0.0333333333333333,0.0333333333333333,緑
佐藤春夫氏の事,人物記,17,0,0,0.0277777777777777,0.0277777777777777,緑
娼婦美と冒険,随筆,18,0,0,0.0263157894736842,0.0263157894736842,緑
尾生の信,小説,43,2,1,0.0568181818181818,0.034090909090909,緑
臘梅,詩歌,11,0,0,0.0416666666666666,0.0416666666666666,緑
軽井沢で,散文詩,27,1,0,0.0535714285714285,0.0178571428571428,緑
彼の長所十八,人物記,31,1,0,0.046875,0.015625,緑
微笑,随筆,35,1,0,0.0416666666666666,0.0138888888888888,緑
久保田万太郎氏,人物記,48,2,0,0.0510204081632653,0.010204081632653,緑
梅花に対する感情,随筆,71,3,0,0.0486111111111111,0.0069444444444444,緑
小説作法十則,文学論,68,3,0,0.0507246376811594,0.0072463768115942,緑
鸚鵡,小説,69,3,0,0.05,0.0071428571428571,緑
るしへる,小説,140,5,1,0.0390070921985815,0.0106382978723404,緑
開化の殺人,小説,192,6,1,0.0336787564766839,0.0077720207253886,緑
内田百間氏,人物記,22,1,0,0.0652173913043478,0.0217391304347826,緑
出来上った人,人物記,20,1,0,0.0714285714285714,0.0238095238095238,緑
鬼ごつこ,小説,19,1,0,0.075,0.025,緑
念仁波念遠入礼帖,随筆,40,2,0,0.0609756097560975,0.0121951219512195,緑
東洋の秋,小説,34,2,0,0.0714285714285714,0.0142857142857142,緑
田端日記,日録,128,13,0,0.1046511627906980,0.003875968992248,緑
遺書,遺書,91,10,0,0.1141304347826090,0.0054347826086956,緑
恒藤恭氏,人物記,75,6,0,0.0855263157894736,0.006578947368421,緑
病中雑記,随筆,71,5,0,0.0763888888888889,0.0069444444444444,緑
出帆,小説,88,6,0,0.0730337078651685,0.0056179775280898,緑
案頭の書,随筆,88,6,0,0.0730337078651685,0.0056179775280898,緑
